size,merge,heap,quick
10,3004,534,399
113,41099,12550,6876
216,78984,26932,14275
319,132617,46999,24713
422,163871,61949,31849
525,210830,80471,41340
628,246630,97446,49855
731,300648,120069,60991
834,343467,140629,70882
937,374159,155153,78241
1040,410939,173530,87754
1143,454363,192293,97628
1246,501729,211672,107814
1349,540339,232225,117440
1452,583325,252032,126867
1555,629062,273103,137949
1658,671730,294045,148162
1761,717737,317193,159410
1864,786681,341603,169965
1967,797327,355526,178806
2070,846214,376196,190338
2173,889286,399574,202092
2276,929563,418775,211171
2379,976667,442399,222527
2482,1021202,463120,232955
2585,1072480,487165,244438
2688,1124365,506799,254287
2791,1152779,528666,265750
2894,1213125,550368,275909
2997,1237533,574587,288641
3100,1279467,592832,297659
3203,1326042,616142,309494
3306,1376675,643050,321763
3409,1415010,660145,331751
3512,1460201,686325,342989
3615,1504150,704507,354371
3718,1575508,729865,366892
3821,1598194,755919,378325
3924,1653713,773238,387374
4027,1684576,807439,400652
4130,1726328,822203,411818
4233,1771322,843929,421644
4336,1810344,864387,432763
4439,1863256,889513,444143
4542,1901669,910865,455624
4645,1946407,934228,467788
4748,2001605,960165,478474
4851,2056955,983074,491500
4954,2180471,1006378,500365
5057,2140268,1035779,512715
5160,2178833,1047734,522538
5263,2226577,1075199,535578
5366,2272581,1099448,550251
5469,2320171,1124089,561127
5572,2359792,1145668,569138
5675,2431193,1182785,589019
5778,2450618,1193853,594855
5881,2502361,1220232,606318
5984,2546630,1241138,615379
6087,2616902,1269037,630061
6190,2622537,1285841,640556
6293,2684770,1318902,656339
6396,2708973,1333537,662356
6499,2934130,1444451,709188
6602,2902647,1432498,705443
6705,2850822,1406666,701170
6808,2905944,1440418,711647
6911,2945740,1461029,723900
7014,2992183,1484001,734602
7117,3076149,1518126,749375
7220,3083733,1532570,761446
7323,3138681,1558726,773527
7426,3172670,1582261,781870
7529,3217652,1602783,796444
7632,3264883,1638591,808651
7735,3338870,1674843,828023
7838,3367786,1688838,833307
7941,3408160,1709102,844754
8044,3446792,1724568,852550
8147,3501852,1763104,863239
8250,3521190,1775772,874907
8353,3599138,1797406,889219
8456,3628761,1828082,902240
8559,3679742,1850152,912510
8662,3714197,1872776,925341
8765,3774614,1900331,939374
8868,3844570,1946332,959613
8971,3855725,1949819,963243
9074,3902505,1981687,975052
9177,3976188,2006202,989092
9280,3995363,2024778,997669
9383,4175926,2055557,1010515
9486,4110512,2089299,1028793
9589,4186707,2118214,1042189
9692,4199381,2133063,1053414
9795,4260370,2168627,1065433
9898,4279728,2189307,1074929
10001,4324168,2203118,1084107
10104,4371716,2231250,1096217
10207,4414510,2260472,1111443
10310,4471688,2280913,1124684
10413,4535801,2301463,1135311
10516,4571803,2334377,1149849
10619,4662113,2374626,1166380
10722,4647239,2382432,1171087
10825,4690399,2410513,1184601
10928,4789809,2458753,1202192
11031,4932456,2526919,1234116
11134,4940715,2551064,1242588
11237,4893561,2548979,1240336
11340,4931610,2541903,1246852
11443,4977105,2570795,1260430
11546,5097012,2598501,1272005
11649,5081648,2622682,1281225
11752,5104570,2660908,1294553
11855,5168662,2701284,1310334
11958,5235857,2748175,1325661
12061,5320862,2840510,1350196
12164,5338463,3000986,1356397
12267,5369537,2837592,1366963
12370,5436785,2807566,1382122
12473,5456833,2826099,1391513
12576,5552772,2848596,1401259
12679,5526287,2874753,1417987
12782,5646348,2902716,1424698
12885,5636365,2935782,1439539
12988,5668742,2959724,1453114
13091,5705229,2986235,1465810
13194,5760662,3016483,1474730
13297,5797809,3032676,1491983
13400,5857631,3055053,1501586
13503,5895598,3078292,1516856
13606,5973383,3107077,1528678
13709,5969139,3143616,1542842
13812,6069750,3166301,1549143
13915,6086432,3196718,1566937
14018,6125658,3222435,1579491
14121,6346528,3339824,1620773
14224,6268112,3307774,1614769
14327,6265427,3315213,1608104
14430,6286195,3319572,1626711
14533,6377481,3359801,1640688
14636,6426712,3379180,1647055
14739,6451842,3396728,1662670
14842,6814784,3432780,1679379
14945,6548037,3447859,1691173
15048,6606099,3489233,1707311
16053,7086293,3762850,1837830
17056,7540471,4011745,1959155
18059,8001953,4279586,2085829
19062,8522256,4542097,2220458
20065,8970673,4814325,2340235
21068,9677685,5242719,2527505
22071,9837399,5335011,2590730
23074,10306490,5617748,2724970
24077,10878671,5920908,2876820
25080,11533272,6204059,2986512
26083,11757174,6505724,3116252
27086,12139023,6706365,3245730
28089,12684206,7035914,3390055
29092,13072088,7252858,3504259
30095,13559070,7539282,3644983
31098,14064054,7843157,3771102
32101,14530340,8098241,3899394
33104,14968225,8402301,4037599
34104,15470247,8693888,4169024
44107,20234631,11540189,5508626
54110,24890367,14465071,6879063
64113,29769523,17513275,8270785
74116,34718615,20493844,9672608
84119,40712937,23780406,11177877
94122,44257999,26837426,12529277
100000,45084895,27373181,13403390
149999,69041539,43243697,20554200
199998,92643039,59662342,29443300
249997,117863944,77605010,44190600
299996,142349384,95143663,45640100
349995,165658057,111435824,53008160
399994,190081891,129470453,60084990
449993,214315402,152614619,68600120
499992,238900700,173418985,78475870
549991,264789222,194758246,89691690
599990,289913692,216854290,92920860
649989,314818784,239596234,101436520
699988,339970118,262807994,110573310
749987,367514763,289436835,116968560
799986,390044940,310764105,125417940
849985,414677222,335229693,134447960
899984,439436153,359497020,143230460
949983,465170480,385046378,151682110
999982,490999865,410626354,159780240
1049981,,,168543000
1099980,,,177823790
1149979,,,185558250
1199978,,,194932460
1249977,,,203732450
1299976,,,210909760
1349975,,,224175930
1399974,,,229291400
1449973,,,238176060
1499972,,,246848750
1549971,,,266414930
1599970,,,265685570
1642900,837751460,787272690,273525740
1692899,863605620,824232300,281787950
1742898,889603170,848723060,292142510
1792897,913614480,884762650,301423550
1842896,939601920,907869580,311958030
1892895,965370810,939841440,316419920
1942894,997610250,979667670,327247110
1992893,1019064830,1006348440,340199690
2000000,1032554000,1002042140,341476030
2049999,1043889430,1027092120,348111330
2099998,1082712040,1063556260,353396870
2149997,1100650710,1091700670,363314360
2199996,1122861950,1133270250,371529030
2249995,1151134720,1152001300,384038910
2299994,1189754930,1198063930,396613760
2349993,1212752680,1218794430,408711170
2399992,1237730350,1249321040,411578320
2449991,1264974810,1277912670,429700040
2499990,1293742450,1326772410,426431600
